year,week,award_type,count,total
2021,44,1,22,4389174
2021,44,2,6,2421211
2021,44,3,7,508025
2021,44,4N,1,249000
2021,44,5,159,60624789
2021,44,7,4,654070
2021,45,1,22,5330899
2021,45,2,5,1988857
2021,45,3,12,1032060
2021,45,4N,1,593175
2021,45,5,360,137405680
2021,45,7,9,4580610
2021,46,1,37,10563024
2021,46,2,4,1466538
2021,46,3,17,3234659
2021,46,4N,2,2014234
2021,46,5,426,198929474
2021,46,6,1,144614
2021,46,7,6,1290676
2021,47,1,86,28684929
2021,47,2,10,5169424
2021,47,3,25,1896534
2021,47,4N,4,1444576
2021,47,5,510,313902159
2021,47,7,4,3932201
2021,48,1,124,48858169
2021,48,2,16,7404312
2021,48,3,28,4852893
2021,48,4C,2,648375
2021,48,4N,14,10880945
2021,48,5,481,247596532
2021,48,7,10,5565257
2021,49,1,116,43085759
2021,49,2,17,6454736
2021,49,3,38,22850652
2021,49,4N,9,5608747
2021,49,5,508,273768277
2021,49,6,1,27410
2021,49,7,17,6780962
2021,50,1,198,73172061
2021,50,2,23,23065314
2021,50,3,45,5816345
2021,50,4C,2,689635
2021,50,4N,11,6104004
2021,50,5,586,260620012
2021,50,6,3,668067
2021,50,7,18,6623121
2021,51,1,236,73608243
2021,51,2,25,12000606
2021,51,3,42,4159614
2021,51,4C,4,1138704
2021,51,4N,3,2079757
2021,51,5,717,322318000
2021,51,7,19,4794758
2021,51,9,1,12857
2021,52,1,169,80310989
2021,52,2,22,9868629
2021,52,3,19,2122607
2021,52,4C,1,249000
2021,52,4N,2,514598
2021,52,5,240,118954757
2021,52,7,9,2964774
2021,53,1,41,15793646
2021,53,2,6,2931296
2021,53,3,6,491778
2021,53,4N,1,249000
2021,53,5,96,45376670
2021,53,7,1,365234
2022,1,1,99,35493955
2022,1,2,12,5788253
2022,1,3,40,12788713
2022,1,4N,3,1597542
2022,1,5,398,177293911
2022,1,7,15,3453734
2022,2,1,185,57763609
2022,2,2,14,6916454
2022,2,3,42,5812678
2022,2,4C,1,249000
2022,2,4N,6,3708523
2022,2,5,605,299806311
2022,2,6,1,500000
2022,2,7,22,6621085
2022,2,8,1,82620
2022,2,9,1,654599
2022,3,1,207,68870164
2022,3,2,18,12269212
2022,3,3,50,3944674
2022,3,4C,2,806086
2022,3,4N,10,5114863
2022,3,5,667,249434467
