award_date,project_number,award_amount,award_type
2025-01-01,5R35GM148412-03,434605,5
2025-01-01,5R25DK130849-03,96357,5
2025-01-01,1R01ES036436-01A1,702364,1
2025-01-01,5R01HL157531-04,948321,5
2025-01-01,5R01NS126444-03,349877,5
2025-01-01,1R35GM157007-01,372100,1
2025-01-01,5K23MH122626-06,170777,5
2025-01-01,5R01CA266529-03,398860,5
2025-01-01,7R01GM079465-20,448138,7
2025-01-01,1R01ES036253-01A1,709575,1
2025-01-01,5D43TW008652-13,285064,5
2025-01-01,5R01MD018583-03,530699,5
2025-01-01,1R01CA296842-01,665368,1
2025-01-01,5R01NS117742-05,337715,5
2025-01-01,5R01HL085440-19,638440,5
2025-01-01,5R01NS047229-19,515529,5
2025-01-01,1K23NS136843-01A1,227445,1
2025-01-01,5R01NS129643-03,560583,5
2025-01-01,4R44NS135792-02,2977025,4N
2025-01-01,5R01CA266757-04,614421,5
2025-01-01,5R01NS129736-03,356673,5
2025-01-01,5R01CA249116-05,440011,5
2025-01-01,5R01MD017610-02,691590,5
2025-01-01,1R01HG014094-01,639898,1
2025-01-01,5R01NS121337-04,498973,5
2025-01-01,1R35GM156302-01,387662,1
2025-01-01,2R01AI148249-06,777397,2
2025-01-01,5R01DK139505-02,615543,5
2025-01-01,5R01HL166183-03,621667,5
2025-01-01,5UG1CA287013-02,1313116,5
2025-01-01,5UG1CA287011-02,804907,5
2025-01-01,1R35GM157218-01,316668,1
2025-01-01,1R35HL177125-01,1123357,1
2025-01-01,1U24HL172722-01,3125882,1
2025-01-01,5F31NS132443-02,40485,5
2025-01-01,5F31MD018279-02,39637,5
2025-01-01,5UG1CA287007-02,788729,5
2025-01-01,5R21CA286215-02,140531,5
2025-01-01,5UG1CA286949-02,787596,5
2025-01-01,5R01DK133145-03,399184,5
2025-01-01,5R01DK018477-49,409805,5
2025-01-01,5R01LM014026-04,264636,5
2025-01-01,5P50AR080581-03,1583114,5
2025-01-01,5R01CA244522-05,321165,5
2025-01-01,5R01NS109481-04,259014,5
2025-01-01,5R01DK076690-17,421214,5
2025-01-01,5F30HD114316-02,53974,5
2025-01-01,5R01HL167195-03,555132,5
2025-01-01,5R25HL161713-04,242299,5
2025-01-01,5R01NS107733-05,426433,5
2025-01-01,5R01DK054231-22,622620,5
2025-01-01,5R01NS126664-03,350997,5
2025-01-01,1R56AI188902-01,775986,1
2025-01-02,5K01HL155236-05,160807,5
2025-01-02,5R25HL161786-04,238222,5
2025-01-02,1R21AI182809-01A1,260445,1
2025-01-02,1R56AI182310-01A1,812704,1
2025-01-02,2I01BX000286-13A1,0,2
2025-01-02,7R01AG080925-03,623141,7
2025-01-02,1R01CA288833-01A1,677801,1
2025-01-02,5R35HL160840-04,898206,5
2025-01-02,1R01AI189789-01,808216,1
2025-01-02,5R01MD018679-02,582847,5
2025-01-02,3R35GM139593-05S1,78973,3
2025-01-02,1R56AI180052-01A1,642775,1
2025-01-02,5R01CA249528-06,362340,5
2025-01-02,5R35HL161237-04,852860,5
2025-01-02,1R61CA297953-01,224863,1
2025-01-02,5R01HL166541-03,568943,5
2025-01-02,5F31NS136011-02,48974,5
2025-01-02,1R13DE034589-01,18000,1
2025-01-02,5R01AI183606-02,713142,5
2025-01-02,2I01BX004630-06,0,2
2025-01-02,1R43DA062460-01,399739,1
2025-01-02,5K01AI156022-05,127278,5
2025-01-02,5R21AI175472-02,196425,5
2025-01-02,5R01AI175498-03,715543,5
