award_date,project_number,award_amount,award_type
2023-02-16,1DP1DA058350-01,484500,1
2023-02-16,1DP1DA058360-01,501000,1
2021-12-22,1DP2AI154410-01,446400,1
2021-12-23,1DP2AI164244-01,351313,1
2022-01-20,1DP2AI164293-01,425620,1
2022-01-28,1DP2AI164319-01,528000,1
2023-02-16,1DP2AI176896-01,1189520,1
2024-01-23,1DP2AI177910-01,492000,1
2022-01-20,1F30AG072766-01A1,47256,1
2022-02-10,1F30AG072834-01A1,51752,1
2022-01-12,1F30AG074524-01A1,51752,1
2022-01-12,1F30AG076259-01,34428,1
2022-01-12,1F30AG076322-01,45078,1
2022-02-09,1F30AG076323-01,39127,1
2022-11-25,1F30AG080885-01,32949,1
2022-12-08,1F30AG081092-01,43216,1
2022-12-16,1F30AG081097-01,52694,1
2022-12-16,1F30AG081100-01,33646,1
2023-01-26,1F30AG081134-01,43216,1
2023-12-28,1F30AG082410-01A1,53974,1
2023-12-07,1F30AG085889-01,42629,1
2023-11-17,1F30AG085905-01,34296,1
2023-11-17,1F30AG085919-01,49302,1
2024-01-18,1F30AG085921-01,54320,1
2023-12-06,1F30AG085984-01,49174,1
2023-12-14,1F30AG086001-01,40967,1
2021-12-01,1F30AI157182-01A1,51752,1
2021-12-16,1F30AI160828-01A1,35411,1
2021-11-19,1F30AI161309-01A1,32686,1
2021-12-03,1F30AI161795-01A1,42498,1
2021-11-22,1F30AI161801-01A1,49575,1
2021-11-24,1F30AI162222-01A1,46592,1
2022-01-17,1F30AI164803-01A1,51752,1
2022-11-21,1F30AI167482-01A1,40635,1
2022-11-09,1F30AI169746-01A1,39238,1
2022-12-19,1F30AI169748-01A1,32949,1
2022-11-21,1F30AI169759-01A1,38574,1
2023-12-05,1F30AI172189-01A1,37018,1
2022-11-21,1F30AI174324-01,52694,1
2022-11-07,1F30AI174686-01,38960,1
2022-11-15,1F30AI174699-01,39877,1
2022-11-09,1F30AI174762-01,39571,1
2022-11-25,1F30AI174776-01,52694,1
2022-11-15,1F30AI174787-01,32612,1
2022-11-18,1F30AI174817-01,35758,1
2022-12-14,1F30AI174890-01,38990,1
2023-11-30,1F30AI176607-01A1,37903,1
2023-12-06,1F30AI176696-01A1,41666,1
2023-12-20,1F30AI176699-01A1,38314,1
2023-12-18,1F30AI176712-01A1,34164,1
2023-12-05,1F30AI176724-01A1,41571,1
2024-01-08,1F30AI176796-01A1,44408,1
2023-11-30,1F30AI176917-01A1,44862,1
2024-01-24,1F30AI179038-01A1,38177,1
2024-01-26,1F30AI179167-01A1,53974,1
2024-01-04,1F30AI181285-01,34623,1
2023-12-06,1F30AI181355-01,41571,1
2023-12-19,1F30AI181449-01,44651,1
2023-12-20,1F30AI181462-01,34623,1
2024-12-11,1F30AI181466-01A1,34336,1
2023-12-11,1F30AI181481-01,41915,1
2023-11-20,1F30AI181493-01,33922,1
2023-12-15,1F30AI181515-01,53974,1
2024-11-22,1F30AI183562-01A1,43131,1
2024-11-29,1F30AI183705-01A1,42492,1
2024-01-25,1F30AI183830-01,50937,1
2024-11-16,1F30AI188599-01,41915,1
2024-11-08,1F30AI189255-01,49474,1
2022-01-01,1F30AT011858-01,41406,1
2022-12-30,1F30AT012306-01,51752,1
2024-12-20,1F30AT013174-01,44151,1
2021-12-22,1F30CA250244-01A1,41934,1
2023-02-16,1F30CA257622-01A1,52694,1
2022-02-09,1F30CA257747-01A1,41062,1
2022-02-15,1F30CA264965-01A1,38855,1
2022-01-06,1F30CA268631-01,51752,1
2021-11-25,1F30CA268633-01,51752,1
2023-02-14,1F30CA268764-01A1,52694,1
